#Mapping quality	mapping quality
0.0	323325.0
1.0	12196.0
2.0	8573.0
3.0	12657.0
4.0	12093.0
5.0	14164.0
6.0	7924.0
7.0	17975.0
8.0	8519.0
9.0	20805.0
10.0	8906.0
11.0	20136.0
12.0	12656.0
13.0	11631.0
14.0	20884.0
15.0	15331.0
16.0	12221.0
17.0	14682.0
18.0	17867.0
19.0	18816.0
20.0	15482.0
21.0	12963.0
22.0	16964.0
23.0	55870.0
24.0	17117.0
25.0	20163.0
26.0	20139.0
27.0	20818.0
28.0	16564.0
29.0	75704.0
30.0	37939.0
31.0	26177.0
32.0	32887.0
33.0	33137.0
34.0	31663.0
35.0	31269.0
36.0	37201.0
37.0	277454.0
38.0	31263.0
39.0	43488.0
40.0	60187.0
41.0	66822.0
42.0	76346.0
43.0	47977.0
44.0	265202.0
45.0	65067.0
46.0	117622.0
47.0	66103.0
48.0	782205.0
49.0	110667.0
50.0	477138.0
51.0	115780.0
52.0	1084935.0
53.0	466669.0
54.0	1217191.0
55.0	959998.0
56.0	1181321.0
57.0	714164.0
58.0	85738.0
59.0	15272.0
60.0	4.8489234E7
61.0	70830.0
62.0	76971.0
63.0	36048.0
64.0	6284.0
65.0	25988.0
66.0	4555.0
67.0	666.0
68.0	189.0
70.0	12063.0
